name,Job Role,CTC,Stipend,Eligible Batch,Eligible Courses,Eligible Branches,Internship Duration,Location,Application Link
Summer Internship for Neotic Exposure (SINE),,,"* Rs. 500/- per week | Mode:* Offline | Application Form Link:* https://forms.gle/Y29qcAq91vY8Ayt66 | Deadline*: March 31, 2024","* 2025, 2026","* BTech, MTech","* All | Eligibility:* Students must be amongst Top 15 ranks (for BTech) or Top 5 ranks (for MTech) in their respective program/branch | Duration:* 8 weeks (May 15 - July 19, 2024)",,,
GE HealthCare,,,,"* 2024, 2025, 2026 | Team Size:* 1-4 | Process:* | (1) Idea Round | (2) POC Round | Prizes:* | 1st Prize- INR 150000 | 2nd Prize- INR 100000 | 3rd Prize- INR 75000 | Registration Deadline:* 15th April 2024 | Registration Link:* | https://www.hackerearth.com/challenges/hackathon/pcc-2024/","* B.Tech, M.Tech, Dual Degree",* All,,,
Fortify Health,,,,,,,,,
Maker Bhavan Foundation Invention Factory*,,,,,,,,,
Summer Internship for Neotic Exposure (SINE),,,"* INR. 500/- per week | Mode:* Offline | Registration Form Link:* https://www.iitrpr.ac.in/studentportal/summerinternship-2024 | Deadline*: March 31, 2024","* 2025, 2026","* BTech, MTech","* All | Eligibility:* Students must be amongst Top 15 ranks (for BTech) or Top 5 ranks (for MTech) in their respective program/branch | Duration:* 8 weeks (May 15 - July 19, 2024)",,,
CSIR IMMT Bhubaneswar,,,,,,,,,
TOWER RESEARCH CAPITAL,,,* Not Disclosed,"* 2025, 2026","* B.Tech, M.Tech, Dual, M.Sc, Integrated M.Sc, PhD",* All,,* Gurgaon,"* https://boards.greenhouse.io/embed/job_app?token=5798772&gh_src=be8ebc4b1&source=LinkedIn | Registration link:* https://forms.gle/ai5dEpWLcC5QEEGYA | Application deadline:* Apply ASAP! | Note:* | 23/03/24, 13:36 - +91 98012 67549 joined using a group link."
"FedEx, IITM Centre",,,,"* 2025, 2026",* All,"* All | Application Form Link:* https://docs.google.com/forms/d/e/1FAIpQLSd81LgfjDN_IRwOcNlWmX5gCl_tRHgG32ztqJSzfn55OAxzVA/viewform | Application Deadline*: April 15th, 2024 | (1) _Choose the category of interest accordingly._ | (2) _Upload your latest CV and gradecard upto 3rd semester (for B.Tech) and 5th semester (for Dual degree)._ | (3) _Students should have good programming and analytical capabilities._ <This message was edited>",,* Chennai,
Summer Research Internship Program-2024,,,,,,,,,
IISER BHOPAL,,,* Unpaid,"* 2025, 2026, 2027","* B.Tech, M.Tech, Dual, M.Sc, Integrated M.Sc",* All,,,"* https://internship.iiserb.ac.in/internship/ | Registration link:* https://forms.gle/Qcr3qAtuWMXnB9nv8 | Application Deadline:* April 21, 2024"
